"logit_1_0";"Cattle";"Prot_area";"Powerlines";"Railroads";"WAI";"WGI";"WUI";"Machinery";"FAPU";"Tracks";"Change_pop"
1;38,5;25149,23046875;0;0;244470;150154;0;2,34999990463257;0;0;0,109999999403954
1;139;934646,125;0;0;246421;0;0;0,270000010728836;724420;309761,6875;0,105999998748302
1;207;0;0;0;0;0;0;1,36000001430511;0;0;-0,141000002622604
1;12973,5;0;112386,296875;0;281607;0;0;0,189999997615814;0;0;0,133000001311302
1;983;0;0;0;347792;0;0;5,8600001335144;0;0;-0,00999999977648258
1;22069;0;0;0;308396;131;0;17,6399993896484;0;0;-0,0560000017285347
1;0;0;0;367244,3125;267158;0;19;5,17999982833862;0;0;0,528999984264374
1;17;0;0;0;263244;0;0;1,45000004768372;0;0;0,0880000069737434
1;188;857305;148483,296875;0;562915;36304;0;0,730000019073486;0;0;0,266999989748001
1;7442;0;0;0;386175;0;0;1,19000005722046;0;39128,91015625;0,0760000124573708
1;0;1e+06;0;0;485933;0;0;1,55999994277954;580206;0;0,114000000059605
1;27,5;0;0;0;299297;0;0;0,519999980926514;0;0;-0,0579999983310699
1;1094;1e+06;0;0;0;705426;0;1,50999999046326;68915;0;0,0230000000447035
1;1647;0;32646,94921875;0;313099;0;0;4,21999979019165;0;113586;-0,0509999990463257
1;45;0;0;6123,19580078125;303999;0;0;0,800000011920929;0;264750;-0,0670000016689301
1;640;0;0;0;0;0;0;3,55999994277954;829485;0;-0,0439999997615814
1;14101;0;0;0;256943;0;0;0,159999996423721;0;0;0,0790000036358833
1;3217;0;0;0;281835;0;0;1,91999995708466;0;0;0,10700000077486
1;69,5;0;0;0;253540;0;0;1,4099999666214;174344;0;0,312000006437302
1;1329;0;0;0;533724;7633;0;5,03999996185303;0;0;0,144999995827675
1;12810;0;134496,90625;0;510286;0;0;1,70000004768372;0;0;0,206000000238419
1;3476,5;0;0;0;0;0;0;1,66999995708466;173574;0;0
1;43;1e+06;0;0;263456;0;0;5,30999994277954;25683;20204,41015625;0,0140000004321337
1;616;0;0;394593,1875;528605;1093;0;2,67000007629395;0;0;0,0309999994933605
1;3378;0;57588,0390625;0;336883;0;134;1,19000005722046;0;0;0,225999996066093
1;472;807175,625;0;0;432774;0;0;2,65000009536743;0;0;0,061999998986721
1;145,5;0;0;0;0;63661;0;0,769999980926514;0;0;-0,0599999986588955
1;239;0;0;0;259781;0;0;2,63000011444092;0;11955,0400390625;0,0770000070333481
1;632;390748,1875;0;0;185637;0;0;0,649999976158142;0;0;0,00100000004749745
1;13111;7691,4267578125;0;45720,5390625;0;10503;0;4,65999984741211;0;494019,1875;0,0160000007599592
1;10536;0;0;0;379613;210564;0;0,419999986886978;0;0;0,00499999988824129
1;3988;11762,0302734375;0;0;259333;295606;95062;1,62999999523163;0;0;0,0430000014603138
1;57;0;0;0;114678;0;0;0,879999995231628;0;46881,73046875;0,122000001370907
1;1562;0;0;0;0;127602;0;1,76999998092651;0;351413,6875;-0,100000001490116
1;197;0;0;0;376222;0;0;1,79999995231628;0;0;-0,0160000007599592
1;7253;465637,8125;0;0;0;0;0;3,73000001907349;0;0;-0,0690000131726265
1;2151,5;0;0;0;275086;7731;0;0,870000004768372;518784;0;0,0430000014603138
1;0;0;0;98518,09375;320635;0;0;2,32999992370605;0;102765,296875;-0,145999997854233
1;4102;0;156985,203125;0;0;0;0;4,71999979019165;0;654532,125;-0,104000002145767
1;2573;0;0;0;378254;0;0;1,75;0;0;0,127000004053116
1;20644;0;74932,546875;0;271386;0;0;0,180000007152557;0;0;0,187999993562698
1;1810;588010,375;237483,796875;0;386124;31747;0;0,389999985694885;0;0;0,00499999988824129
1;203;0;100968,703125;0;589243;0;0;2,20000004768372;0;0;-0,137999996542931
1;10533;0;0;0;349304;0;0;18,9599990844727;0;0;0,061999998986721
1;9306;0;0;0;292427;0;0;8,96000003814697;0;416943,8125;-0,0299999993294477
1;0;507873,09375;0;0;231743;0;0;0,0399999991059303;0;0;0,0700000002980232
1;367;0;0;0;0;1461;0;1,30999994277954;567653;0;0,0939999967813492
1;7253;0;0;0;0;978487;0;3,73000001907349;0;0;-0,0829999968409538
1;1;81972,21875;144062,59375;0;314047;0;0;1,10000002384186;0;0;-0,073000006377697
1;669;0;0;0;390980;505;0;0,670000016689301;0;4051,42309570312;0,164000004529953
1;12180;0;104078,3984375;0;0;0;0;4,5;0;417801,40625;-0,0329999998211861
1;173;0;0;0;0;0;0;1,57000005245209;0;0;-0,0439999997615814
1;7346,5;0;0;0;455853;0;0;6,25;0;1631,06103515625;-0,0379999987781048
1;2;0;0;0;375536;0;0;0,509999990463257;0;0;0,0860000029206276
1;635;0;103134,6015625;5389,333984375;295653;0;0;0,140000000596046;0;0;0,128000006079674
1;10533;941,548217773438;43156,8203125;0;350598;0;0;18,9599990844727;0;0;0,0509999990463257
1;194;0;83833,8671875;0;0;12680;0;0,159999996423721;0;0;-0,0280000008642673
1;1120;0;0;0;356990;0;0;0,540000021457672;0;0;0,073000006377697
1;12810;0;0;0;301567;0;0;1,70000004768372;0;478042,3125;0,109999999403954
1;1555;0;0;471636,59375;0;0;0;8,01000022888184;0;70664,921875;0,0670000016689301
1;2563;0;0;0;0;50085;0;4,09999990463257;736687;0;-0,0230000000447035
1;5403;1e+06;0;0;0;0;0;1,67999994754791;279765;0;0,00100000004749745
1;3902;62171,73046875;0;0;420199;0;0;0,589999973773956;0;129160,6015625;0,153999999165535
1;1044;0;0;0;371302;0;0;0,370000004768372;0;0;0,0880000069737434
1;1235;98563,0078125;0;0;0;0;0;3,89000010490417;0;80288,03125;-0,164000004529953
1;2836;46269,44921875;0;0;0;792536;0;3,84999990463257;0;293479,6875;0,00700000021606684
1;55,5;0;0;0;328853;47926;0;6,59000015258789;0;0;0,647000014781952
1;181;0;0;0;355161;0;1;2,99000000953674;0;0;0,0659999996423721
1;192;0;0;0;0;0;0;0,720000028610229;0;0;0,0189999993890524
1;2249;0;0;0;397920;0;0;1,16999995708466;0;1192,2490234375;0,244000002741814
1;6688;0;0;0;0;354928;0;3,91000008583069;42395;0;0,00100000004749745
1;1580;1e+06;0;0;0;152818;0;0,419999986886978;0;0;-0,0450000017881393
1;335;0;0;0;299199;0;0;2,10999989509583;28308;24,7668209075928;0,103000000119209
1;857;0;0;0;292037;0;0;4,84999990463257;0;608747,3125;0,662000119686127
1;222;253358;0;0;382313;108131;0;2,5;461490;122843,1015625;0,0130000002682209
1;230;0;0;0;0;1850;602662;0,360000014305115;0;138429,796875;-0,0199999995529652
1;769,333312988281;32376,599609375;0;0;452264;433749;0;3,5;0;0;-0,0800000131130219
1;154;0;0;0;347310;0;0;1,55999994277954;0;0;0,0570000000298023
1;493;0;0;0;460245;0;0;3,36999988555908;0;0;0,0500000007450581
1;4199;57079,0703125;0;0;0;660316;206388;5,03999996185303;51163;142227,203125;0,0430000014603138
1;67;0;0;0;281461;0;0;0,319999992847443;0;0;0,0900000035762787
1;277;0;0;0;0;304013;0;0,0299999993294477;498815;0;0,017000000923872
1;36,5;0;0;0;341061;0;0;1,37999999523163;0;0;0,0659999996423721
1;1377;0;0;0;495166;0;0;1,29999995231628;0;2109,01196289062;0,0109999999403954
1;57;0;0;0;412966;0;0;0,879999995231628;0;778636,875;0,144999995827675
